 ,  ,number
M0,F1,0.7002702140927042
M0,%bugs,0.9444444444444444
M0,%effort,0.46875
M0,F1,0.7065972222222222
M0,%bugs,0.8571428571428571
M0,%effort,0.5631067961165048
M0,F1,0.7101248266296809
M0,%bugs,0.8571428571428571
M0,%effort,0.5631067961165048
M0,F1,0.7101248266296809
M0,%bugs,0.8181818181818182
M0,%effort,0.6390977443609023
M0,F1,0.7286397812713603
M0,%bugs,0.4117647058823529
M0,%effort,0.8519736842105263
M0,F1,0.6318691950464397
M0,%bugs,0.3333333333333333
M0,%effort,0.8860759493670887
M0,F1,0.609704641350211
M0,%bugs,0.6226415094339622
M0,%effort,0.7464788732394366
M0,F1,0.6845601913366994
